# GMM n=4 pocket classification, T=25C
# Classes: S1_pocket, S3_pocket, surface, extended
# frame  chi2  chi2_state  wcn  d_S1  d_S3  M  dist_nm  Q_p  class
149  99.22  1  0.792368  5.741  11.034  -0.544326  1.068645  0.005546  surface
150  43.61  0  0.754332  6.025  11.339  -0.843217  1.184124  -0.010584  S1_pocket
151  81.94  1  0.726648  5.770  11.995  -0.393666  1.197705  -0.010263  S1_pocket
152  78.95  1  0.773357  5.924  10.248  -0.418202  1.076333  -0.011977  surface
153  77.51  1  0.711169  6.141  11.563  -0.545133  1.195762  -0.003074  S1_pocket
154  102.88  1  0.799804  7.049  11.280  -0.598261  1.118768  0.005890  S1_pocket
155  85.21  1  0.784632  5.789  11.219  -0.446228  1.042385  -0.002857  surface
156  50.67  1  0.707235  5.756  12.240  -0.524245  1.283205  -0.006771  S1_pocket
157  60.46  1  0.750952  6.267  11.323  -0.550878  1.197084  0.000157  S1_pocket
158  74.65  1  0.790988  6.036  11.369  -0.245541  1.046777  -0.007791  surface
159  87.98  1  0.758957  6.075  11.805  -0.128481  1.117305  -0.016720  surface
160  51.67  1  0.758804  6.202  11.093  -0.671253  1.142681  -0.013464  S1_pocket
161  52.21  1  0.722946  5.839  11.840  -0.609964  1.225212  -0.003852  S1_pocket
162  53.08  1  0.740743  6.194  11.490  -0.662825  1.199953  -0.000986  S1_pocket
163  96.10  1  0.808443  6.197  11.890  0.257885  0.974927  -0.007348  surface
164  80.20  1  0.849712  6.005  10.888  -0.169744  0.967595  -0.023488  surface
165  68.70  1  0.806483  6.116  10.418  -0.026799  0.936130  -0.027429  surface
166  80.80  1  0.839189  6.377  10.079  0.083482  0.947301  -0.020508  surface
167  62.86  1  0.836314  6.240  11.546  -0.082640  1.019610  -0.018370  surface
168  88.41  1  0.768534  5.611  12.254  0.012076  1.123410  -0.019235  surface
169  74.65  1  0.790541  6.118  11.409  -0.044292  1.022316  -0.006219  surface
170  73.26  1  0.830050  6.880  10.934  -0.178442  0.991771  -0.021300  surface
171  91.31  1  0.780852  6.083  11.900  -0.053047  1.096835  -0.008350  surface
172  97.70  1  0.727008  6.859  13.407  0.775423  1.091453  -0.019509  surface
173  97.61  1  0.709923  6.105  12.894  -0.027824  1.253286  -0.026422  S1_pocket
174  86.76  1  0.757225  6.485  13.596  0.474676  1.150779  -0.016352  surface
175  92.42  1  0.825822  6.490  11.122  0.264737  0.951623  -0.014506  surface
176  85.70  1  0.773618  6.964  11.232  0.067253  1.046199  -0.020493  surface
177  104.17  1  0.749142  6.952  11.625  0.185071  1.106818  -0.015644  surface
178  76.81  1  0.810714  6.888  13.545  0.597713  1.051353  -0.027271  surface
179  83.70  1  0.753620  6.136  12.599  0.199022  1.116076  -0.020145  surface
180  94.90  1  0.794003  6.377  11.927  0.263013  1.024411  -0.019561  surface
181  80.12  1  0.738212  6.468  14.249  0.429700  1.159912  0.000863  surface
182  92.25  1  0.824834  6.591  11.253  0.491819  0.890366  -0.026063  surface
183  84.30  1  0.804562  6.490  11.217  0.509009  0.964547  -0.022604  surface
184  94.00  1  0.833088  6.022  10.363  0.289737  0.881004  -0.025243  surface
185  96.96  1  0.797534  6.666  12.523  0.449236  1.010727  -0.016386  surface
186  95.11  1  0.789434  6.448  14.247  0.616069  1.068016  -0.016237  surface
187  85.63  1  0.763443  6.516  13.172  0.701129  1.039732  -0.016137  surface
188  84.95  1  0.785267  6.571  13.553  0.580860  1.092296  -0.032181  surface
189  80.16  1  0.763563  6.191  12.675  0.471463  1.104589  -0.016627  surface
190  78.50  1  0.752174  6.292  12.404  0.057064  1.117677  -0.007020  surface
191  93.80  1  0.857470  6.584  10.196  -0.154652  0.948852  -0.013853  surface
192  91.96  1  0.803830  6.208  11.446  0.204518  0.955149  -0.015541  surface
193  93.97  1  0.823980  6.250  10.767  0.010143  0.937217  -0.020475  surface
194  88.47  1  0.808396  6.107  12.217  0.061360  0.987048  -0.020265  surface
195  70.87  1  0.870342  6.461  11.078  0.256995  0.871333  -0.023414  surface
196  86.97  1  0.886408  6.076  10.552  0.248792  0.853852  -0.028603  surface
197  97.95  1  0.851079  6.372  11.294  0.407070  0.884459  -0.018639  surface
198  93.67  1  0.810806  6.128  12.975  0.504008  0.962348  -0.020329  surface
199  91.53  1  0.834574  5.938  11.626  0.474574  0.900281  -0.022062  surface
200  93.16  1  0.796652  6.629  12.783  0.510805  1.020236  -0.021292  surface
201  96.79  1  0.847790  6.535  11.815  0.429224  0.915618  -0.013365  surface
202  105.38  1  0.845493  6.659  10.783  0.354741  0.912483  -0.020667  surface
203  94.28  1  0.810678  6.438  11.405  0.349875  0.926468  -0.021693  surface
204  99.56  1  0.804855  6.323  11.886  0.335571  0.980310  -0.012900  surface
205  76.91  1  0.810098  6.836  12.255  0.416627  0.976139  -0.021894  surface
206  102.17  1  0.829788  6.727  10.537  0.456845  0.862051  -0.026737  surface
207  93.89  1  0.840433  6.307  11.056  0.219777  0.893573  -0.022965  surface
208  88.92  1  0.813647  6.560  11.691  0.556330  0.912929  -0.028890  surface
209  89.50  1  0.875115  6.359  10.981  0.367731  0.846562  -0.027856  surface
210  91.39  1  0.804401  6.353  11.964  0.236779  1.002973  -0.027168  surface
211  86.55  1  0.825499  6.084  11.587  0.364895  0.952534  -0.033802  surface
